"","CD31m_1","CD31m_2","CD31m_3","CD31m_4","Ost_c_1","Ost_c_2","Ost_c_3","Ost_c_4","Ost_ins_1","Ost_ins_2","Ost_ins_3","Ost_ins_4"
"P62495",16.19256,16.08539,16.05508,16.55031,15.92249,15.77366,16.17244,16.03579,16.22055,15.93734,16.41153,15.90769
"P62633",16.94235,17.06605,17.41063,16.34635,16.68065,16.74977,16.39324,16.10505,16.62455,16.28702,16.65655,16.33523
"P67775",17.1733,17.08482,16.66881,17.46329,17.08778,17.23237,17.20394,17.22949,17.24787,17.25714,17.28126,17.34699
"P78347",15.30694,14.9451,15.40385,15.32037,15.10947,14.87742,15.247,15.25166,15.28035,15.27163,15.30726,15.25338
"P78406",15.26606,15.43891,15.87874,15.40722,15.11633,14.97346,14.61634,14.58589,14.79658,14.65371,15.09266,14.41219
"P84098",16.85572,17.14935,17.31143,17.40473,17.39873,17.58612,17.90453,17.94667,17.59188,18.56634,17.82832,17.95921
"P84103",18.2672,18.30152,18.70396,17.24855,17.861,17.8714,17.46027,17.47467,17.72044,17.82138,17.6034,17.54074
"Q00059",15.18072,14.37348,15.39038,15.24992,14.57658,13.96579,14.46343,14.58645,14.63765,14.9316,14.55723,14.39893
"Q00765",16.76922,16.5901,16.16504,16.59413,16.38015,16.78836,16.77247,17.02422,16.75308,16.94665,16.70949,16.76577
"Q01105",17.85146,17.70547,17.91499,17.22234,17.45834,17.53094,16.95362,16.88904,17.21083,17.35741,16.91752,16.66656
"Q02252",14.81922,15.31121,14.68795,14.56398,15.5135,15.57642,14.83598,15.0514,14.93857,15.08823,14.44173,14.59066
"Q04837",17.73301,17.90813,18.02535,17.64517,17.84861,17.68753,17.33682,17.60651,17.48286,17.41112,17.14664,17.74664
"Q12788",18.05831,17.6348,17.8344998355863,17.45497,17.46467,17.67484,17.77255,17.59135,17.87512,18.34552,17.45041,17.97777
"Q12792",16.49683,16.60074,15.98691,16.47819,16.50461,16.62393,16.5643,16.62768,16.54371,16.41518,16.64711,16.44875
"Q12841",15.00085,15.66282,15.37644,15.18987,15.15529,15.44642,15.1519,14.64941,14.8459,15.03204,15.44135,14.62819
"Q12907",16.72155,16.69903,16.40052,16.72793,16.65123,16.63541,16.81008,16.85881,16.66117,16.5606,16.6608,16.74119
"Q12959",16.14299,16.45554,16.25659,16.22393,16.57637,16.4156,16.22416,16.26706,16.47119,16.17457,16.32981,16.31906
"Q12996",18.24884,18.44366,17.83203,17.9306355552188,18.40861,18.16813,17.50169,18.02349,17.73351,18.32047,17.78848,18.70929
"Q13242",16.34882,16.20195,16.63137,15.7184,15.82105,15.63869,15.50185,15.18178,15.56444,15.22283,15.68219,15.2747
