"","CD31p_1","CD31p_2","CD31p_3","CD31p_4","Huv_c_1","Huv_c_2","Huv_c_3","Huv_c_4","Huv_ins_1","Huv_ins_2","Huv_ins_3","Huv_ins_4"
"Q16513",16.88812,16.49319,17.16711,16.97953,16.71372,16.8134,17.19395,16.7398,17.21789,16.98569,17.28251,17.43237
"Q16527",15.38678,14.87259,15.0774,15.11628,14.96039,14.84526,14.88208,14.67126,14.9181,15.00885,14.60667,14.53194
"Q16576",18.33109,18.41259,18.09367,18.69078,18.95087,18.90486,18.67615,19.0082,18.24403,18.65946,18.19871,18.07381
"Q16698",16.76678,16.92402,16.44158,16.6684,16.2997,16.89731,16.25311,16.25128,16.71471,16.94289,16.56597,16.6953
"Q32P44",14.82221,14.96198,14.88167,14.70652,13.99003,14.31023,14.38459,14.18056,14.59045,14.87433,14.63656,14.80448
"Q3LXA3",15.65616,15.59524,15.71108,15.63006,14.9117,14.86336,15.33402,14.66076,15.47475,15.27035,15.56393,15.61258
"Q4V328",14.75491,14.71859,14.56342,14.76624,14.2363,14.36034,14.34823,14.41147,14.46193,14.64567,14.40747,14.5639
"Q5T6F2",15.11269,15.29036,14.90049,15.59577,15.58602,15.39041,15.54217,15.87618,15.31761,15.5619,15.35032,14.99363
"Q5VT25",14.17202,13.64834,14.51791,13.8816,13.84534,13.8336,14.14003,13.74467,14.32491,14.2083,14.53882,14.55156
"Q6PCE3",14.85823,14.13991,15.21664,14.78688,14.87768,14.80271,14.95159,14.67897,14.88001,14.5526,15.12604,15.25243
"Q6PJT7",13.92787,14.3209,13.8432,14.53994,14.42418,14.61632,14.35156,14.44429,14.30984,14.51459,14.0739,14.11307
"Q7Z4H8",15.61832,15.71974,15.17031,15.7823,15.70912,15.53734,15.43798,15.81484,15.97161,15.44402,15.75856,15.57828
"Q86UV5",13.9571,13.8805,14.48059,13.86357,14.77008,14.90433,14.80746,14.55196,14.22693,14.63928,14.60033,14.84853
"Q86X55",15.45952,15.36063,15.62684,15.2276,15.41756,15.50882,15.57715,15.24022,15.5414,15.47556,15.65014,15.64968
"Q8IY81",15.05911,15.35016,15.32941,15.19085,15.66568,15.60726,15.36439,15.43755,15.25526,14.9489,15.28244,15.51714
"Q8NCN5",14.51453,14.59069,14.58887,14.24101,14.00883,14.0848,14.46315,14.17741,14.76686,14.56927,14.50522,14.7143
"Q8TC12",15.50804,15.29801,15.83644,15.13958,16.0503,15.85494,15.9977,15.77184,15.60657,15.36445,15.67546,15.97333
"Q8WXX5",16.0412,16.4523,16.00677,16.48577,16.76196,16.95173,16.67938,17.03962,16.36216,16.62681,16.28034,16.05474
"Q8WYA6",14.32035,14.30483,14.51118,14.22158,14.81525,14.81809,14.64739,14.66215,14.31816,14.14031,14.49256,14.35164
"Q92503",14.9445,13.94425,14.66197,15.3599,15.65364,14.21614,16.48162,16.25915,15.39822,14.85536,15.13979,15.5547
"Q92520",15.97187,16.0857,15.93081,16.064,16.38174,16.11254,16.16063,16.11056,16.16287,15.52187,16.02939,16.0199
"Q92917",16.14036,16.34339,15.99886,16.35209,16.35056,16.42454,16.20942,16.55966,16.10814,16.42844,15.86417,15.99199
"Q96A49",15.68252,15.6235,15.4409,16.06937,15.70065,15.86984,15.5733,15.94838,15.63456,15.63754,15.3373,15.37493
"Q96A65",15.09369,14.69403,15.32708,14.81205,14.82255,14.88815,15.00595,14.64714,15.11762,14.92061,15.27028,15.5462
"Q96AQ6",15.16897,15.04706,14.76493,15.13399,15.05855,15.2044,15.09831,15.27487,15.03024,14.97623,14.93767,14.96889
"Q96CS3",15.81643,15.60401,15.86091,15.52685,15.73516,15.89573,15.76555,15.62614,15.6498,15.68279,15.70814,15.96634
"Q96EP5",16.40924,16.98249,16.61928,17.09408,16.76908,16.79467,16.86009,16.88201,17.0233,17.07661,17.04449,16.79744
"Q96JB5",15.14702,15.13141,15.1728,15.04598,14.49947,14.88667,14.89292,14.76858,14.80552,14.82044,14.92178,14.78832
"Q96PU8",16.24206,16.59761,16.20706,16.67684,16.5437,16.49608,16.4085,16.60993,16.50343,16.38191,16.26826,16.25493
"Q96RT1",14.21144,14.4875,13.63182,14.49436,14.33065,14.95502,14.21358,14.44277,14.27268,13.89715,14.41092,14.06345
"Q99685",14.85895,14.31233,14.75429,15.214,15.34637,15.08764,15.0425,15.13536,14.95999,14.65563,14.86656,14.74635
"Q99733",17.98813,17.66076,17.52873,18.08474,18.24295,17.96184,17.97204,18.45848,17.96302,17.08308,17.75736,17.49332
"Q9BRK5",15.53956,15.55894,15.09872,15.78981,15.05685,15.23378,14.96571,15.45023,15.23748,15.34662,15.00863,15.16572
"Q9BTU6",15.83357,15.22093,15.26025,15.87173,15.02932,14.9447,15.40794,15.87555,16.08323,15.39012,15.73578,15.35138
"Q9BYT8",15.15823,15.46984,15.31441,15.21792,15.12641,15.10785,15.46548,15.17517,15.29738,15.57369,15.10126,15.50201
"Q9BZK7",16.86897,17.07454,16.71054,17.0708,17.0461,17.27499,17.091,17.32541,16.71316,16.90223,16.49374,16.77418
"Q9C0D5",13.55663,13.21366,13.85537,13.35341,13.98215,13.81139,14.07895,13.76463,14.11528,13.83883,14.23927,14.26484
"Q9H488",16.20993,16.34403,16.10519,16.14627,16.15275,16.12016,16.14291,16.27048,16.08572,16.22084,16.01131,15.95833
"Q9H7C4",14.33028,15.33929,13.86795,14.90247,13.17195,13.10955,13.04957,13.31818,13.61912,13.9323200480216,13.73442,13.30493
"Q9H9A6",14.83081,14.74636,15.16512,14.78119,14.96628,15.0074,15.04592,14.99592,14.86138,15.09596,14.93973,15.01588
"Q9HAV4",13.83806,13.55611,14.43018,13.70853,14.68179,14.66219,14.6895,14.41759,14.39031,14.07954,14.81837,14.70429
"Q9HAV7",16.53283,16.56872,16.05111,16.78759,16.66346,16.64393,16.36728,16.73075,16.80185,16.77201,16.46017,16.41267
"Q9NP74",15.94457,15.55181,15.83929,16.06131,15.47139,15.68528,15.57819,15.8484,15.95921,16.25857,15.74905,15.69243
"Q9NPQ8",15.28969,15.26354,15.46837,15.23819,15.70566,15.23044,15.57276,15.31558,15.57925,15.19336,15.47924,15.69481
"Q9NR31",16.37019,16.1199,16.94207,15.89608,17.02617,16.70768,16.97799,16.6454,16.51185,16.48434,16.547,16.98247
"Q9NTX5",14.73001,14.74667,14.571,14.60146,14.32091,14.68201,14.42283,14.52725,14.31312,14.37906,14.11811,14.24959
"Q9NX63",16.22188,16.57662,15.64277,16.57296,15.91467,16.09837,15.79795,16.135,15.98207,16.26371,15.80048,15.64959
"Q9NZV1",14.68325,14.39903,14.82727,14.76829,14.611,14.27107,14.59277,14.93766,15.27186,15.34853,14.96021,15.31338
"Q9UBQ7",16.09035,16.06695,16.21107,16.28613,16.32377,16.24071,16.23142,16.26927,16.52248,16.10936,16.34744,16.50423
"Q9UBV2",15.93874,15.569,15.83577,15.78875,15.64473,15.57554,15.57549,15.52516,15.74631,15.48413,15.6894,15.69414
"Q9UEY8",14.84382,14.9607,14.89831,15.32498,15.06174,14.88784,14.82905,14.73652,14.33617,14.376,14.17591,14.45483
"Q9UIA9",14.80611,14.66413,15.14818,14.43415,14.43669,14.5391,14.80561,14.40476,14.83396,14.71835,15.04656,15.27783
